date_publish,hostile_encounter,quantified_mass,death,buildings,attack,besieging,destroying,committing_crime,terrorism,killing,military_operation,firing,explosion,surrendering,violence,rebellion,subversion,counterattack,arson
2024-02-08 00:02:46,,2.0,1.0,5.0,,,,,,1.0,,,,,,,,,
2024-01-05 01:31:34,,2.0,,,2.0,,,,,4.0,,,,,,,,,
2024-01-16 20:57:48,,,3.0,,1.0,,,,,1.0,,,,,,,,,
2023-11-07 10:01:42,,1.0,,,,,,,,,,,,,,,,,
2023-12-23 08:00:20,3.0,5.0,4.0,1.0,,,,,,1.0,,,,,,,,,
2023-11-13 18:08:57,,,,,,,,,,,,,,,,,,,
2023-11-17 05:32:11,1.0,,,1.0,,,,,,,,,,,,,,,
2023-11-12 00:41:43,7.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,3.0,,,,,3.0,,1.0,,
2023-11-18 16:19:24,6.0,1.0,,,,,,,,,,,,,,,,,
2024-01-09 20:47:37,1.0,5.0,,1.0,,,1.0,,,,,,,,,,,,
2023-12-27 15:57:44,3.0,1.0,3.0,5.0,,,,,,3.0,,,,,,,,,
2024-01-17 08:00:25,1.0,,,,,,,,,,,,,,,,,,
2023-11-10 02:21:04,1.0,2.0,1.0,5.0,11.0,,2.0,,4.0,13.0,,,,,,,,,
2023-11-21 15:25:59,3.0,2.0,,,1.0,,,1.0,,2.0,,,,,,,,,
2023-12-05 19:36:04,4.0,3.0,1.0,1.0,2.0,,1.0,,,3.0,,,,,,,,,
2023-12-05 19:42:47,3.0,1.0,,,1.0,,,,,,,,,,,,,,
2023-12-13 12:05:20,,6.0,,3.0,,,1.0,,,,,,,,,,,,
2024-01-20 14:00:01,,5.0,,,,,,,,1.0,,1.0,1.0,,,,,,
2024-02-14 23:16:35,7.0,1.0,,,2.0,,,,,2.0,,,,,,,,,
2024-01-25 17:43:41,,,,,3.0,,,,1.0,,,,,,,,,,
2024-01-24 19:05:39,4.0,,,,,,,,,,,,,,,,,,
2023-12-14 01:12:45,,1.0,,,1.0,,1.0,,,2.0,,,,,,,,,
2024-02-18 11:08:39,2.0,1.0,1.0,,,,,,,2.0,,,,,,,,,
2023-11-12 00:00:00,1.0,,,,2.0,,,,,,,,,,,,,,
2023-12-02 00:00:00,1.0,,,5.0,,,,,1.0,,,,,,,,,,
2023-11-27 15:51:24,2.0,,,,,,,,,,,,,,,,1.0,,
2024-02-12 19:44:41,2.0,,,,1.0,,,,1.0,1.0,,,,,,,,,
2023-11-12 13:04:51,6.0,5.0,,1.0,3.0,,,,,4.0,,,,,,,,,
2023-11-06 17:29:13,,,,,1.0,,,,,,,,,,,,,,
2023-11-12 16:44:53,8.0,,3.0,,4.0,,,3.0,2.0,1.0,,,,,,,,,
